date,open,high,low,close,adjusted_close,volume
2018-12-07,22.,22.75,18.51,18.6,18.6,12995570
2018-12-10,18.9,19.44,18.,18.8,18.8,4230000
2018-12-11,20.55,20.66,17.99,18.01,18.01,3440000
2018-12-12,18.55,19.48,18.02,18.68,18.68,2590000
2018-12-13,19.25,19.29,18.68,18.76,18.76,1610000
2018-12-14,18.75,18.88,18.25,18.32,18.32,746410
2018-12-17,18.33,18.47,16.9,17.,17.,1580000
2018-12-18,17.1,17.25,16.25,17.,17.,1620000
2018-12-19,16.86,17.37,16.,16.18,16.18,941530
2018-12-20,16.,16.14,14.75,15.5,15.5,2370000
2018-12-21,15.4,15.5,13.95,14.47,14.47,2060000
2018-12-24,14.32,14.32,13.75,14.03,14.03,665430
2018-12-26,14.15,14.31,13.03,13.52,13.52,1820000
2018-12-27,13.49,14.95,13.27,14.65,14.65,1770000
2018-12-28,14.72,14.85,13.82,14.15,14.15,929100
2018-12-31,14.24,15.3,14.21,15.27,15.27,994730
2019-01-02,14.93,15.45,14.51,15.33,15.33,2320000
2019-01-03,15.49,16.08,15.2,15.5,15.5,1590000
2019-01-04,16.,17.5,15.89,16.96,16.96,1650000
2019-01-07,17.54,17.94,16.18,16.27,16.27,1590000
2019-01-08,17.35,17.47,16.05,16.95,16.95,1890000
2019-01-09,17.2,17.25,16.15,16.33,16.33,1190000
2019-01-10,16.36,16.51,16.,16.48,16.48,487280
2019-01-11,16.6,17.06,16.53,17.,17.,580570
2019-01-14,17.,17.06,16.72,16.74,16.74,612920
2019-01-15,17.,17.,16.41,16.59,16.59,468080
2019-01-16,16.8,16.95,16.26,16.26,16.26,272800
2019-01-17,16.05,16.53,16.05,16.31,16.31,315680
2019-01-18,16.46,16.8,16.25,16.69,16.69,629970
2019-01-22,16.62,16.63,15.35,15.56,15.56,637010
2019-01-23,15.59,15.92,14.76,14.79,14.79,652600
2019-01-24,14.9,15.2,14.64,14.64,14.64,452910
2019-01-25,14.8,14.92,14.4,14.91,14.91,942270
2019-01-28,14.84,14.84,14.45,14.45,14.45,656520
2019-01-29,14.46,14.88,14.45,14.63,14.63,592760
2019-01-30,14.72,15.54,14.65,15.13,15.13,758900
2019-01-31,15.24,17.48,15.24,16.6,16.6,2260000
2019-02-01,16.8,17.01,15.9,16.22,16.22,617270
2019-02-04,16.22,16.49,15.95,16.27,16.27,297820
2019-02-05,16.29,17.49,16.21,17.18,17.18,652720
2019-02-06,17.25,18.39,17.11,18.14,18.14,1020000
2019-02-07,17.95,18.07,17.04,17.05,17.05,527580
2019-02-08,17.1,18.15,17.1,17.99,17.99,685760
2019-02-11,17.99,18.65,17.75,18.17,18.17,597970
2019-02-12,18.21,18.76,17.6,18.69,18.69,753130
2019-02-13,18.99,19.22,18.3,18.53,18.53,1330000
2019-02-14,18.64,19.96,18.63,19.66,19.66,1090000
2019-02-15,19.94,21.47,19.7,21.44,21.44,2090000
2019-02-19,21.51,21.51,20.05,20.83,20.83,1200000
2019-02-20,21.12,21.24,19.13,19.92,19.92,1160000
2019-02-21,19.74,19.98,18.88,19.34,19.34,822630
2019-02-22,19.35,20.04,19.35,19.88,19.88,567610
2019-02-25,20.54,22.3,19.83,21.65,21.65,1920000
2019-02-26,21.6,24.4,21.56,23.7,23.7,2520000
2019-02-27,23.37,23.83,21.53,22.1,22.1,1550000
2019-02-28,22.45,23.03,22.05,22.6,22.6,511290
2019-03-01,23.09,23.39,21.64,22.27,22.27,867390
2019-03-04,22.47,22.8,20.52,21.12,21.12,1130000
2019-03-05,21.18,21.49,20.29,21.37,21.37,1090000
2019-03-06,21.4,22.05,20.06,20.65,20.65,1060000
2019-03-07,20.42,21.16,19.61,20.59,20.59,1020000
2019-03-08,20.37,21.08,19.9,20.93,20.93,631130
2019-03-11,20.99,20.99,19.97,20.43,20.43,915640
2019-03-12,20.52,20.89,19.12,19.26,19.26,1630000
2019-03-13,19.3,20.25,19.23,19.97,19.97,756590
2019-03-14,19.92,21.,19.92,20.82,20.82,883580
2019-03-15,20.99,22.19,20.89,21.82,21.82,2690000
2019-03-18,21.74,22.22,21.22,22.18,22.18,1250000
2019-03-19,22.47,22.6,20.18,20.35,20.35,976100
2019-03-20,20.41,20.98,19.9,20.,20.,985300
2019-03-21,20.,20.25,19.21,19.34,19.34,860510
2019-03-22,19.38,19.7,18.75,19.,19.,579500
2019-03-25,19.,19.59,18.21,19.4,19.4,671670
2019-03-26,19.61,19.94,19.24,19.9,19.9,393880
2019-03-27,20.08,20.08,18.89,19.27,19.27,602640
2019-03-28,19.3,19.74,19.,19.66,19.66,453590
2019-03-29,19.87,20.8,19.47,20.35,20.35,660850
2019-04-01,20.54,20.91,20.04,20.59,20.59,547570
2019-04-02,20.68,20.68,19.54,19.7,19.7,546570
2019-04-03,19.92,21.67,19.81,21.33,21.33,909320
2019-04-04,21.12,23.18,21.04,23.08,23.08,1710000
2019-04-05,23.8,26.23,22.66,25.96,25.96,1980000
2019-04-08,25.9,29.79,25.6,27.23,27.23,2670000
2019-04-09,27.3,28.4,26.31,26.82,26.82,1050000
2019-04-10,26.9,27.74,26.5,26.8,26.8,639410
2019-04-11,26.82,26.99,24.26,25.73,25.73,1030000
2019-04-12,26.,26.05,24.27,24.61,24.61,708630
2019-04-15,24.99,25.94,24.62,25.84,25.84,636490
2019-04-16,26.,26.22,23.65,23.78,23.78,964840
2019-04-17,24.,24.12,22.31,23.5,23.5,918560
2019-04-18,23.47,23.55,22.43,22.51,22.51,736360
2019-04-22,22.7,23.99,22.51,23.63,23.63,494150
2019-04-23,23.73,24.98,23.73,24.7,24.7,617760
2019-04-24,24.8,25.76,24.29,25.76,25.76,702200
2019-04-25,25.76,26.72,25.43,25.74,25.74,603270
2019-04-26,25.83,27.3,25.69,26.26,26.26,593560
2019-04-29,26.28,27.2,24.97,25.14,25.14,1060000
2019-04-30,25.28,26.03,25.,26.03,26.03,620720
2019-05-01,26.31,27.09,25.87,26.4,26.4,1120000
2019-05-02,26.33,28.49,26.19,28.34,28.34,1080000
2019-05-03,28.89,28.95,26.85,27.2,27.2,837920
2019-05-06,26.38,27.81,26.25,27.1,27.1,667200
2019-05-07,27.18,27.26,24.16,24.55,24.55,1060000
2019-05-08,23.7,26.,23.53,23.54,23.54,1020000
2019-05-09,23.5,24.,22.75,23.26,23.26,523120
2019-05-10,23.04,24.93,22.8,24.92,24.92,536230
2019-05-13,24.46,24.77,23.23,24.43,24.43,491780
2019-05-14,24.5,24.89,23.57,23.59,23.59,473930
2019-05-15,23.46,23.84,22.81,23.12,23.12,847320
2019-05-16,23.5,24.05,23.15,23.46,23.46,536570
2019-05-17,23.31,23.43,21.68,23.08,23.08,1280000
2019-05-20,22.85,23.6,22.55,22.6,22.6,553000
2019-05-21,22.65,23.16,22.43,22.7,22.7,475910
2019-05-22,22.65,22.77,21.93,22.,22.,569590
2019-05-23,21.75,21.94,21.01,21.38,21.38,739550
2019-05-24,21.56,22.,21.41,21.83,21.83,744000
2019-05-28,22.3,22.46,21.44,21.54,21.54,616010
2019-05-29,21.71,21.9,21.16,21.7,21.7,490740
2019-05-30,21.84,21.9,21.05,21.49,21.49,361290
2019-05-31,21.16,21.38,20.74,20.78,20.78,443530
2019-06-03,20.79,20.99,18.82,19.85,19.85,1030000
2019-06-04,19.76,20.74,19.23,19.47,19.47,1080000
2019-06-05,19.2,19.2,17.2,17.7,17.7,5050000
2019-06-06,17.83,18.92,17.61,17.94,17.94,6070000
2019-06-07,17.71,18.4,17.3,17.52,17.52,1890000
2019-06-10,17.85,17.99,15.67,15.67,15.67,2570000
2019-06-11,16.09,16.88,15.75,16.,16.,5610000
2019-06-12,16.11,16.36,15.62,16.3,16.3,2040000
2019-06-13,16.42,17.59,16.05,16.16,16.16,1610000
2019-06-14,16.25,16.68,15.32,15.4,15.4,2080000
2019-06-17,15.54,15.85,15.28,15.77,15.77,1220000
2019-06-18,15.9,16.19,15.58,15.74,15.74,1120000
2019-06-19,15.75,16.3,15.37,15.5,15.5,2830000
2019-06-20,15.85,15.94,14.86,15.18,15.18,1610000
2019-06-21,15.2,15.32,14.5,14.7,14.7,2120000
2019-06-24,14.41,14.69,14.02,14.04,14.04,1330000
2019-06-25,14.11,14.25,13.65,13.77,13.77,1940000
2019-06-26,13.92,14.18,13.65,13.7,13.7,1110000
2019-06-27,13.5,14.4,13.5,14.34,14.34,1720000
2019-06-28,14.41,14.64,14.11,14.64,14.64,1660000
2019-07-01,14.86,15.08,14.47,14.73,14.73,1140000
2019-07-02,14.71,14.71,14.,14.4,14.4,1200000
2019-07-03,14.5,15.33,14.4,15.31,15.31,954480
2019-07-05,15.47,15.47,14.83,14.96,14.96,970640
